StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q23,Q40,Q25,Q27,Q29,Q29_10_TEXT,Q31,Q33,Q27,ranking_1,ranking_2,ranking_3,ranking_4,ranking_5,allocation_1,allocation_2,allocation_3,allocation_4,allocation_5,variance,hint
2019-01-16 17:05:22,2019-01-16 17:11:13,IP Address,75.112.94.221,100,351,True,2019-01-16 17:11:14,R_31bJVaLDfrmsE7C,,,,,28.5825958251953125,-81.19069671630859375,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,Female,21,No,,United States of America,Less than 1,Undergraduate degree,2,3,5,1,4,40,20,20,15,5,2,1
2019-01-16 17:08:25,2019-01-16 17:12:55,IP Address,99.248.161.103,100,269,True,2019-01-16 17:12:55,R_W29vKtdGun74nNT,,,,,43.5637054443359375,-79.7201995849609375,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,Male,25,Other (please specify),Romanian,Canada,2,High school,4,3,1,5,2,10,10,20,30,30,1,2
2019-01-16 17:07:58,2019-01-16 17:14:37,IP Address,112.141.59.63,100,398,True,2019-01-16 17:14:37,R_3G8mykVpAXcJxQP,,,,,-37.86669921875,144.66668701171875,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,Male,18,Chinese,,Australia,Less than 1,High school,4,3,1,5,2,6,24,40,0,30,2,2
2019-01-16 17:10:26,2019-01-16 17:17:27,IP Address,90.201.0.122,100,421,True,2019-01-16 17:17:28,R_2wEvuRHIqSkoYsy,,,,,51.7321014404296875,-1.206298828125,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,Male,38,No,,United Kingdom of Great Britain and Northern Ireland,Less than 1,High school,4,2,3,5,1,16,25,19,5,35,1,2
2019-01-16 17:12:44,2019-01-16 17:18:12,IP Address,73.141.78.139,100,327,True,2019-01-16 17:18:13,R_1gi0xgyIQyh56sC,,,,,39.9362030029296875,-75.15630340576171875,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,Male,27,No,,United States of America,Less than 1,None,3,2,4,5,1,16,36,10,5,33,2,3
2019-01-16 17:15:28,2019-01-16 17:25:03,IP Address,189.216.112.121,100,574,True,2019-01-16 17:25:03,R_W9xPtyJcjhSOXkJ,,,,,19.4470977783203125,-99.1598968505859375,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,Male,29 years,Spanish,,Mexico,5,High school,4,3,1,5,2,30,25,20,10,15,2,1
2019-01-16 17:16:55,2019-01-16 17:29:52,IP Address,62.72.192.86,100,777,True,2019-01-16 17:29:53,R_7QTZRLA2D4B5d7j,,,,,51.9351043701171875,4.5496063232421875,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",,Male,32,Other (please specify),Dutch,Netherlands,9,Undergraduate degree,4,3,1,5,2,23,21,12,26,18,2,2
2019-01-17 12:14:08,2019-01-17 12:16:22,IP Address,67.182.89.62,100,133,True,2019-01-17 12:16:22,R_3mmElkYeHyGn0NL,,,,,38.760894775390625,-121.2866973876953125,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c3daefe8315d80001a2776c,Male,20,Vietnamese,,United States of America,3,None,4,3,1,5,2,5,15,50,5,25,2,1
2019-01-17 12:14:38,2019-01-17 12:18:43,IP Address,24.235.188.73,100,244,True,2019-01-17 12:18:43,R_WBrngXa0r9voFEZ,,,,,44.324493408203125,-78.31839752197265625,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c3d418559ca0200014296e0,Female,20,No,,Canada,Less than 1,None,4,3,1,5,2,10,15,40,10,25,1,1
2019-01-17 12:15:11,2019-01-17 12:20:39,IP Address,70.177.136.45,100,328,True,2019-01-17 12:20:40,R_2PcnFce3R9JyEPP,,,,,32.5933990478515625,-83.6416015625,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c392dc0bef9a20001e3f3fd,Male,16,No,,United States of America,Less than 1,None,4,3,2,5,1,9,20,29,5,37,1,3
2019-01-17 12:17:30,2019-01-17 12:20:41,IP Address,100.33.134.200,100,190,True,2019-01-17 12:20:42,R_9H6h4pSMWYA2EPT,,,,,40.568206787109375,-74.11840057373046875,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c3d8a19b3369c0001a9116d,Female,28,Chinese,,United States of America,3,Undergraduate degree,2,3,5,1,4,25,16,6,42,11,1,2
2019-01-17 12:18:21,2019-01-17 12:21:38,IP Address,107.12.82.38,100,197,True,2019-01-17 12:21:39,R_3kd2QpxNjzmnJGK,,,,,34.22369384765625,-77.886199951171875,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c3eb108c21f060001c44c23,Male,21,No,,United States of America,Less than 1,None,3,2,5,4,1,20,25,0,5,50,2,2
2019-01-17 12:14:17,2019-01-17 12:22:01,IP Address,187.160.10.252,100,463,True,2019-01-17 12:22:01,R_2ux2Tt0a2ssetBT,,,,,25.6591949462890625,-100.3242034912109375,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5b2ff5f5c6d7d20001143782,Male,24,Spanish,,Mexico,Less than 1,High school,4,1,3,5,2,10,40,15,10,25,2,3
2019-01-17 12:15:10,2019-01-17 12:22:05,IP Address,93.105.66.190,100,415,True,2019-01-17 12:22:05,R_1HhlsRJYHDgfVLO,,,,,51.75079345703125,15.0155029296875,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c0e94f62932300001e2e0d3,Male,18,Other (please specify),Polish,Poland,Less than 1,High school,2,3,5,1,4,25,22,18,28,7,2,2
2019-01-17 12:16:40,2019-01-17 12:22:34,IP Address,71.168.91.141,100,354,True,2019-01-17 12:22:35,R_sSQZxT1Bun5kq4N,,,,,42.9403076171875,-71.52130126953125,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c3fba01d46b8500016c479f,Female,71,No,,United States of America,Less than 1,None,2,3,5,1,4,20,14,2,60,4,1,3
2019-01-17 12:14:04,2019-01-17 12:23:06,IP Address,99.20.57.144,100,542,True,2019-01-17 12:23:06,R_TjUMknmrcrO0wYp,,,,,42.427398681640625,-82.90019989013671875,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c28058f10677f0001dbcb46,Male,30,No,,United States of America,Less than 1,None,4,1,3,5,2,10,40,20,0,30,2,3
2019-01-17 12:19:58,2019-01-17 12:24:20,IP Address,50.126.109.59,100,262,True,2019-01-17 12:24:20,R_qx2mhE3vJVZYC0V,,,,,45.4983978271484375,-122.957000732421875,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c3f913d337ac90001a53a0e,Female,27,No,,United States of America,4,High school,5,3,1,4,2,71,29,0,0,0,1,1
2019-01-17 12:16:00,2019-01-17 12:24:50,IP Address,31.220.194.2,100,530,True,2019-01-17 12:24:51,R_8HUeIDuIPHXrqA9,,,,,52.9062957763671875,-1.231597900390625,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c3dd170337ac90001a4e3ef,Male,18,No,,United Kingdom of Great Britain and Northern Ireland,Less than 1,None,1,5,3,4,2,29,9,23,14,25,1,1
2019-01-17 12:17:28,2019-01-17 12:24:50,IP Address,65.103.132.3,100,442,True,2019-01-17 12:24:51,R_1NFBKNvms9bFR2v,,,,,47.6963958740234375,-117.4398956298828125,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c3c3b4cbc6444000134a04e,Male,20,No,,United States of America,2,Undergraduate degree,3,2,5,1,4,19,28,4,40,9,2,2
2019-01-17 12:19:26,2019-01-17 12:24:55,IP Address,92.7.182.152,100,328,True,2019-01-17 12:24:55,R_3HRgUxC4WSs825V,,,,,53.3975067138671875,-2.92059326171875,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c3f9b39f26c920001bbb115,Male,22,No,,United Kingdom of Great Britain and Northern Ireland,Less than 1,None,4,2,3,5,1,32,28,20,15,5,1,2
2019-01-17 12:15:08,2019-01-17 12:26:22,IP Address,98.224.173.87,100,674,True,2019-01-17 12:26:22,R_3fkEHLgHulRg1Ct,,,,,42.673004150390625,-82.775299072265625,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c3ac19419ceb400010c9b63,Female,30,No,,United States of America,Less than 1,None,3,4,1,5,2,20,14,33,8,25,1,3
2019-01-17 12:22:29,2019-01-17 12:26:44,IP Address,69.141.55.90,100,254,True,2019-01-17 12:26:44,R_3jT0HAfOQTEzR4F,,,,,40.582305908203125,-74.23130035400390625,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c2dae8e99ff30000185b9f4,Female,39,No,,United States of America,More than 10,Masters degree,4,1,5,3,2,11,45,8,11,25,1,2
2019-01-17 12:20:23,2019-01-17 12:27:12,IP Address,99.253.148.161,100,409,True,2019-01-17 12:27:13,R_2WIQavG97LLk7gb,,,,,43.425994873046875,-80.54380035400390625,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c3fa22ea2b9b60001424b3d,Female,45,No,,Canada,10,None,3,2,1,5,4,40,25,20,10,5,2,2
2019-01-17 12:24:31,2019-01-17 12:28:10,IP Address,87.8.233.102,100,219,True,2019-01-17 12:28:10,R_Dub71nIEiAg4BEZ,,,,,46.069305419921875,13.2371063232421875,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c3e824ce0ea8200014651f9,Female,28,Italian,,Italy,5,High school,4,3,1,5,2,5,15,50,5,25,1,2
2019-01-17 12:22:57,2019-01-17 12:28:26,IP Address,75.37.65.32,100,329,True,2019-01-17 12:28:27,R_3nNw9bQ7uJtg6oU,,,,,38.0984954833984375,-122.21240234375,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5c3f9e5101c5fb0001ff14e7,Female,23,No,,United States of America,Less than 1,High school,4,3,2,5,1,5,20,20,20,35,2,2
