StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q83,Q81,Q79,Q75,Q85,Q85_10_TEXT,Q82,Q77,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19,Q70_1,Q70_2,Q70_3,Q70_4,Q70_5,Q71_1,Q71_2,Q71_3,Q71_4,Q71_5,Q72,allocation,targetNPV,Q72 - Topics
2018-09-03 18:12:33,2018-09-03 18:22:02,IP Address,82.31.139.5,100,568,True,2018-09-03 18:22:02,R_2RV6J3INkJD4Nk8,,,,,50.396392822266,-4.1385955810547,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5b7d3d6f3c13750001989e9c,Male,22,No,,United Kingdom of Great Britain and Northern Ireland,Bachelor's degree in college (4-year),20,45,10,6,19,30,52,53,68,55,"I feel like project 4 is not strong enough and the NPV is way too high for any consumer to wish to purchase. Project 3 is too powerful and with too small a NPV to consider investing in and project 1,2 and 5 all satisfy a progressively increasing laptop capacity with not too high NPV that may be worth investing in.",0,60,10,10,20,100,60,60,60,61,"I wouldn't put an investment in anything that has a 12% chance that the chemicals inside are dangerous. High efficiency washing machines are wanted and needed by many households but the other products i think are a bit niche. ",1,,
2018-09-03 18:13:12,2018-09-03 18:24:59,IP Address,5.64.34.47,100,707,True,2018-09-03 18:25:00,R_Wxhw8adabtkWsP7,,,,,55.830093383789,-4.2528991699219,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5a97ebb8f05361000171e202,Female,22,No,,United Kingdom of Great Britain and Northern Ireland,Some college but no degree,30,50,0,10,10,31,51,34,34,32,Having such a low memory is a big drawback and i don't want to invest in that. Project 2 is the best NPV for the amount of storage and processing power.,0,50,0,0,50,79,54,53,53,79,"The two I have invested in have the best NPV/ product description and probably the area I know most about (tech/sports). The others, like the dandruff shampoo, use ratings I am not familiar with and the chemical percentage does not sound positive. ",1,,
2018-09-03 18:23:24,2018-09-03 18:50:11,IP Address,79.106.209.124,100,1606,True,2018-09-03 18:50:12,R_2aVU4OQRfLEKNar,,,,,41,20,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5ab378d66db3e700011bd699,Female,24,Other (please specify),Greek,Greece,Some college but no degree,45,35,0,0,20,100,81,100,100,94,"when choosing a personal laptop, prices don't trump decent quality in customers' eyes. even non-tech-savvy people would splurge a little to get a decent product for something so important in today's society, and option no1 fits that category nicely. besides that, consumers' needs vary, which demands variety in the offer of products. option no2 would suit those whose lives and habits require stronger processing power and bigger memory storage, while no5 matches the extreme requirements of professional laptop usage whether that be for smoothly running heavy software, processing media, or hardcore gaming. the rest of the options are either sorely lacking in specs (no4, despite the high NVP) or merely mediums of the rest and thus superfluous.",38,39,12,0,11,90,81,61,78,57,"quality, demand, and folowing today's trends is most imporatant",2,,
2018-09-04 21:34:04,2018-09-04 21:36:05,Survey Preview,,100,121,True,2018-09-04 21:36:06,R_2CHxObaJmmDPNZW,,,,,-33.683303833008,151.11669921875,preview,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",1234,Female,12,No,,Afghanistan,Less than high school degree,77,23,0,0,0,88,88,85,88,88,test,54,46,0,0,0,61,61,63,63,86,test,1,852,
2018-09-04 21:37:24,2018-09-04 21:38:46,Survey Preview,,100,82,True,2018-09-04 21:38:46,R_2UaqktoVwCMH5pg,,,,,-33.683303833008,151.11669921875,preview,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",1234,Female,12,Japanese,,Afghanistan,Less than high school degree,0,0,0,100,0,93,92,95,94,95,test,0,0,0,0,100,84,82,83,83,83,test,1,870,
2018-09-04 22:00:40,2018-09-04 22:11:13,IP Address,173.191.177.170,100,632,True,2018-09-04 22:11:13,R_3oL3qmWaq3TLm2h,,,,,41.147003173828,-91.827598571777,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",570d30d942a1db000fc4cf87,Female,56,No,,United States of America,High school graduate (high school diploma or equivalent),30,20,5,30,15,85,80,50,85,75,"I used the NPV to help me determine where to invest funding. ",10,25,20,25,20,65,80,75,70,75,I made my decisions on what the product was and the probability of consumer purchases. How much I thought the product would appeal to the average consumer.,2,872,
2018-09-04 21:58:29,2018-09-04 22:11:13,IP Address,82.13.82.193,100,764,True,2018-09-04 22:11:13,R_2dg9BsydJF2Ezj4,,,,,51.5,-0.41670227050781,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",59be54d6178f1b00018290a6,Female,28,Other (please specify),romanian,United Kingdom of Great Britain and Northern Ireland,Bachelor's degree in college (4-year),29,17,9,17,28,92,59,100,53,72,"i feel like project 1 and project 5 will even each other out, as project 1 brings the slightly high NPV and project 5 brings the high end specs",30,16,5,10,39,90,77,86,73,91,"project 1 and 5 have a high NVP as well as high end specs for the product. project 3 does not seem so great, while project 4 doesn't have great specs, but has the highest NVP of them all",1,889,
2018-09-04 22:04:38,2018-09-04 22:11:35,IP Address,90.194.182.83,100,416,True,2018-09-04 22:11:36,R_2SDBWi7qXGx7yiA,,,,,52.25,-0.88330078125,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5aeaf81de5763600019aa5cc,Male,26,No,,United Kingdom of Great Britain and Northern Ireland,Some college but no degree,25,25,10,30,10,33,36,20,49,25,"I allocated percentage to the projects with a higher NPV while making sure to leave some percentage to allocate to the lower ones, so that a small return could still be seen.",25,25,10,30,10,19,23,10,34,15,"Even though 3 and 5 offer lower NPV I think it is still good to invest some percentage in case 1, 2 and 4 do not show the return you desire",1,887,
2018-09-04 22:03:55,2018-09-04 22:12:06,IP Address,95.148.240.47,100,490,True,2018-09-04 22:12:06,R_pMEMCRzP0C71tMB,,,,,51.586807250977,-0.020401000976562,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5aba6b8a7ccedb0001b7e354,Male,26,No,,United Kingdom of Great Britain and Northern Ireland,Bachelor's degree in college (4-year),20,20,20,10,30,50,60,25,35,60,I have tried to balance the level of investment between the profitability of the products and their place within the market - so that higher end products are likely get a higher level of investment even if they aren't quite as profitable as the lower end products.,30,25,5,10,30,65,40,70,60,40,I've tried to balance the quality of the products (based on my knowledge of what constitutes quality in those area) with the profitability and quality.,1,890,
2018-09-04 22:07:05,2018-09-04 22:12:44,IP Address,90.216.50.43,100,338,True,2018-09-04 22:12:44,R_ABbAQKCG5aCTZYZ,,,,,51.586807250977,-0.020401000976562,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",582b785ff2b5ed00013fe001,Female,42,No,,United Kingdom of Great Britain and Northern Ireland,Master's degree,20,35,5,25,15,10,42,11,26,25,"I'm not entirely sure which of the products sounds better, but I don't want to simply opt for the highest NPV",26,21,16,6,31,51,57,21,57,54,"Although product 4 has the highest NPV, the product itself doesn't sound good",1,859,
2018-09-04 22:01:25,2018-09-04 22:13:28,IP Address,65.60.158.37,100,722,True,2018-09-04 22:13:29,R_OybPzfFM9LOWKgp,,,,,39.942199707031,-82.974296569824,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5702741b68c641000e0c88b6,Female,65,Arabic,,United States of America,Associate degree in college (2-year),10,10,30,10,40,81,81,90,70,90,Three of those computers have been surpassed. I'd go with the progressive computers for what people want to purchase.,30,20,10,10,30,60,60,70,80,80,"I tried to go by the need and friendliness of the products. A mountain bike would be used, a computer with 2 gigs of memory was surpassed a long time ago. A backpack would be used. I'm not certain how modern all of these products are. I suspect the washing machine might be outdated though I haven't considered purchasing one in a while. The energy saver seems sort of outdated. So like I said, need and friendliness.",2,859,
2018-09-04 22:12:52,2018-09-04 22:16:19,IP Address,82.6.216.164,100,207,True,2018-09-04 22:16:19,R_1LCiCNZTD6ouUh8,,,,,53.657196044922,-1.7286071777344,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5a09d3767ecfc50001be101b,Male,34,No,,United Kingdom of Great Britain and Northern Ireland,Bachelor's degree in college (4-year),29,21,12,21,17,66,59,66,55,67,All the projects feel very similar so I choose an even spread.,52,12,12,12,12,80,41,41,40,41,I feel the first project will offer a better investment.,2,879,
